Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN NUMBER,Industry,Instrument
500271,,MFSL,Max Financial Services Ltd,Active,A ,2.0,INE180A01020,Life Insurance,Equity
500279,,MIRCELECTR,MIRC ELECTRONICS LTD.,Active,B ,1.0,INE831A01028,Consumer Electronics,Equity
500280,,CENTENKA,CENTURY ENKA LTD.,Active,B ,10.0,INE485A01015,Textiles,Equity
500285,,SPICEJET,SPICEJET LTD.,Active,A ,10.0,INE285B01017,Airlines,Equity
500288,,MOREPENLAB,MOREPEN LABORATORIES LTD.,Active,B ,2.0,INE083A01026,Pharmaceuticals,Equity
500290,,MRF,MRF LTD.,Active,A ,10.0,INE883A01011,Auto Tyres & Rubber Products,Equity
500292,,HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,Active,A ,10.0,INE578A01017,Cement & Cement Products,Equity
500294,,NCC,NCC Limited,Active,A ,2.0,INE868B01028,Construction & Engineering,Equity
500295,,VEDL,Vedanta Limited,Active,A ,1.0,INE205A01025,Aluminium,Equity
500296,,NAHARSPING,NAHAR SPINNING MILLS LTD.,Active,B ,5.0,INE290A01027,Textiles,Equity
500300,,GRASIM,GRASIM INDUSTRIES LTD.,Active,A ,2.0,INE047A01021,Cement & Cement Products,Equity
500302,,PEL,PIRAMAL ENTERPRISES LTD.,Active,A ,2.0,INE140A01024,Pharmaceuticals,Equity
500304,,NIITLTD,NIIT LTD.,Active,B ,2.0,INE161A01038,IT Training Services,Equity
500312,,ONGC,OIL AND NATURAL GAS CORPORATION LTD.,Active,A ,5.0,INE213A01029,Exploration & Production,Equity
500313,,OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,Active,B ,10.0,INE591A01010,Oil Equipment & Services,Equity
500314,,ORIENTHOT,ORIENTAL HOTELS LTD.,Active,B ,1.0,INE750A01020,Hotels,Equity
500317,,OSWALAGRO,OSWAL AGRO MILLS LTD.,Active,B ,10.0,INE142A01012,Investment Companies,Equity
500325,,RELIANCE,RELIANCE INDUSTRIES LTD.,Active,A ,10.0,INE002A01018,Integrated Oil & Gas,Equity
500327,,PILITA,Pil Italica Lifestyle Ltd,Active,B ,1.0,INE600A01035,Plastic Products,Equity
500330,,RAYMOND,RAYMOND LTD.,Active,A ,10.0,INE301A01014,Textiles,Equity
500331,,PIDILITIND,PIDILITE INDUSTRIES LTD.,Active,A ,1.0,INE318A01026,Specialty Chemicals,Equity
500335,,BIRLACORPN,BIRLA CORPORATION LTD.,Active,A ,10.0,INE340A01012,Cement & Cement Products,Equity
500336,,SURYAROSNI,SURYA ROSHNI LTD.,Active,B ,10.0,INE335A01012,Diversified,Equity
500337,,PRIMESECU,PRIME SECURITIES LTD.,Active,B ,5.0,INE032B01021,Other Financial Services,Equity
500338,,PRSMJOHNSN,Prism Johnson Ltd,Active,A ,10.0,INE010A01011,Cement & Cement Products,Equity
500339,,RAIN,Rain Industries Ltd,Active,A ,2.0,INE855B01025,Petrochemicals,Equity
500343,,AMJLAND,AMJ Land Holdings Ltd,Active,B ,2.0,INE606A01024,Realty,Equity
500350,,RSWM,RSWM LTD.,Active,T ,10.0,INE611A01016,Textiles,Equity
500354,,RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.,Active,B ,10.0,INE562B01019,Sugar,Equity
500355,,RALLIS,RALLIS INDIA LTD.,Active,A ,1.0,INE613A01020,Agrochemicals,Equity
500356,,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.0,INE278B01020,Paper & Paper Products,Equity
500366,,ROLTA,ROLTA INDIA LTD.,Active,B ,10.0,INE293A01013,Internet Software & Services,Equity
500368,,RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,Active,T ,2.0,INE619A01035,Edible Oils,Equity
500378,,JINDALSAW,JINDAL SAW LTD.,Active,A ,2.0,INE324A01024,Construction & Engineering,Equity
500380,,JKLAKSHMI,JK LAKSHMI CEMENT LTD.,Active,A ,5.0,INE786A01032,Cement & Cement Products,Equity
500387,,SHREECEM,SHREE CEMENT LTD.,Active,A ,10.0,INE070A01015,Cement & Cement Products,Equity
500390,,RELINFRA,RELIANCE INFRASTRUCTURE LTD.,Active,A ,10.0,INE036A01016,Electric Utilities,Equity
500400,,TATAPOWER,TATA POWER CO.LTD.,Active,A ,1.0,INE245A01021,Electric Utilities,Equity
500402,,SPMLINFRA,SPML Infra Limited,Active,B ,2.0,INE937A01023,Construction & Engineering,Equity
500403,,SUNDRMFAST,SUNDRAM FASTENERS LTD.,Active,A ,1.0,INE387A01021,Auto Parts & Equipment,Equity
500404,,SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.,Active,B ,10.0,INE947A01014,Iron & Steel/Interm.Products,Equity
500405,,SUPPETRO,SUPREME PETROCHEM LTD.,Active,B ,10.0,INE663A01017,Petrochemicals,Equity
500407,,SWARAJENG,SWARAJ ENGINES LTD.,Active,B ,10.0,INE277A01016,Auto Parts & Equipment,Equity
500408,,TATAELXSI,TATA ELXSI LTD.,Active,A ,10.0,INE670A01012,IT Software Products,Equity
500410,,ACC,ACC LTD.,Active,A ,10.0,INE012A01025,Cement & Cement Products,Equity
500411,,THERMAX,THERMAX LTD.,Active,A ,2.0,INE152A01029,Heavy Electrical Equipment,Equity
500412,,TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,Active,B ,1.0,INE338A01024,Commodity Chemicals,Equity
500413,,THOMASCOOK,THOMAS COOK (INDIA) LTD.,Active,B ,1.0,INE332A01027,Travel Support Services,Equity
500418,,TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,Active,B ,10.0,INE932C01012,Plastic Products,Equity
500420,,TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,Active,A ,5.0,INE685A01028,Pharmaceuticals,Equity
500425,,AMBUJACEM,AMBUJA CEMENTS LTD.,Active,A ,2.0,INE079A01024,Cement & Cement Products,Equity
500429,,UNIPHOS,UNIPHOS ENTERPRISES LTD.,Active,B ,2.0,INE037A01022,Comm.Trading  & Distribution,Equity
500439,,VHL,VARDHMAN HOLDINGS LTD.,Active,B ,10.0,INE701A01023,Finance (including NBFCs),Equity
500440,,HINDALCO,HINDALCO INDUSTRIES LTD.,Active,A ,1.0,INE038A01020,Aluminium,Equity
500444,,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,B ,2.0,INE976A01021,Paper & Paper Products,Equity
500459,,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Active,A ,10.0,INE179A01014,Personal Products,Equity
500460,,MUKANDLTD,MUKAND LTD.,Active,B ,10.0,INE304A01026,Iron & Steel/Interm.Products,Equity
500463,,AGCNET,AGC Networks Limited,Active,B ,10.0,INE676A01019,IT Consulting & Software,Equity
500464,,UCALFUEL,UCAL FUEL SYSTEMS LTD.,Active,B ,10.0,INE139B01016,Auto Parts & Equipment,Equity
500467,,HARRMALAYA,HARRISONS MALAYALAM LTD.,Active,B ,10.0,INE544A01019,Auto Tyres & Rubber Products,Equity
500469,,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.0,INE171A01029,Banks,Equity
500470,,TATASTEEL,TATA STEEL LTD.,Active,A ,10.0,INE081A01012,Iron & Steel/Interm.Products,Equity
500472,,SKFINDIA,SKF India Ltd,Active,A ,10.0,INE640A01023,Other Industrial Goods,Equity
500477,,ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity
500480,,CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.0,INE298A01020,Industrial Machinery,Equity
500483,,TATACOMM,TATA COMMUNICATIONS LTD.,Active,B ,10.0,INE151A01013,Telecom - Alternate Carriers,Equity
500488,,ABBOTINDIA,ABBOTT INDIA LTD.,Active,A ,10.0,INE358A01014,Pharmaceuticals,Equity
500490,,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,A ,10.0,INE118A01012,Holding Companies,Equity
500493,,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.0,INE465A01025,Other Industrial Products,Equity
500495,,ESCORTS,ESCORTS LTD.,Active,A ,10.0,INE042A01014,Commercial Vehicles,Equity
500500,,HINDMOTORS,HINDUSTAN MOTORS LTD.,Active,B ,5.0,INE253A01025,Cars & Utility Vehicles,Equity
500510,,LT,LARSEN & TOUBRO LTD.,Active,A ,2.0,INE018A01030,Construction & Engineering,Equity
500520,,M&M,MAHINDRA & MAHINDRA LTD.,Active,A ,5.0,INE101A01026,Cars & Utility Vehicles,Equity
500530,,BOSCHLTD,BOSCH LTD.,Active,A ,10.0,INE323A01026,Auto Parts & Equipment,Equity
500540,,PREMIER,PREMIER LTD.,Active,T ,10.0,INE342A01018,Industrial Machinery,Equity
500547,,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE029A01011,Refineries/ Petro-Products,Equity
500550,,SIEMENS,SIEMENS LTD.,Active,A ,2.0,INE003A01024,Heavy Electrical Equipment,Equity
500570,,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2.0,INE155A01022,Commercial Vehicles,Equity
500575,,VOLTAS,VOLTAS LTD.,Active,A ,1.0,INE226A01021,Consumer Electronics,Equity
500620,,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,A ,10.0,INE017A01032,Shipping,Equity
500645,,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Active,A ,10.0,INE501A01019,Commodity Chemicals,Equity
500650,,EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,B ,5.0,INE369A01029,Specialty Chemicals,Equity
500660,,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.0,INE159A01016,Pharmaceuticals,Equity
500670,,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Active,A ,10.0,INE113A01013,Fertilizers,Equity
500674,,SANOFI,Sanofi India Ltd,Active,A ,10.0,INE058A01010,Pharmaceuticals,Equity
500680,,PFIZER,PFIZER LTD.,Active,A ,10.0,INE182A01018,Pharmaceuticals,Equity
500690,,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Active,A ,2.0,INE026A01025,Fertilizers,Equity
500696,,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A ,1.0,INE030A01027,Personal Products,Equity
500710,,AKZOINDIA,Akzo Nobel India Limited,Active,A ,10.0,INE133A01011,Furniture-Furnishing-Paints,Equity
500730,,NOCIL,NOCIL LTD.,Active,A ,10.0,INE163A01018,Specialty Chemicals,Equity
500770,,TATACHEM,TATA CHEMICALS LTD.,Active,A ,10.0,INE092A01019,Commodity Chemicals,Equity
500777,,TNPETRO,TAMILNADU PETROPRODUCTS LTD.,Active,B ,10.0,INE148A01019,Commodity Chemicals,Equity
500780,,ZUARIGLOB,ZUARI GLOBAL LTD.,Active,B ,10.0,INE217A01012,Fertilizers,Equity
500790,,NESTLEIND,NESTLE INDIA LTD.,Active,A ,10.0,INE239A01016,Packaged Foods,Equity
500800,,TATACONSUM,Tata Consumer Products Ltd,Active,A ,1.0,INE192A01025,Tea & Coffee,Equity
500820,,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,1.0,INE021A01026,Furniture-Furnishing-Paints,Equity
500825,,BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,A ,1.0,INE216A01030,Packaged Foods,Equity
500830,,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Active,A ,1.0,INE259A01022,Personal Products,Equity
500840,,EIHOTEL,EIH LTD.,Active,A ,2.0,INE230A01023,Hotels,Equity
500850,,INDHOTEL,INDIAN HOTELS CO.LTD.,Active,A ,1.0,INE053A01029,Hotels,Equity
500870,,CASTROLIND,CASTROL INDIA LTD.,Active,A ,5.0,INE172A01027,Oil Marketing & Distribution,Equity
500875,,ITC,ITC LTD.,Active,A ,1.0,INE154A01025,Cigarettes-Tobacco Products,Equity
500877,,APOLLOTYRE,APOLLO TYRES LTD.,Active,A ,1.0,INE438A01022,Auto Tyres & Rubber Products,Equity
500878,,CEATLTD,CEAT LTD.,Active,A ,10.0,INE482A01020,Auto Tyres & Rubber Products,Equity
500890,,MODIRUBBER,MODI RUBBER LTD.,Active,T ,10.0,INE832A01018,Auto Tyres & Rubber Products,Equity
500940,,FINOLEXIND,FINOLEX INDUSTRIES LTD.,Active,A ,10.0,INE183A01016,Plastic Products,Equity
501150,,CENTRUM,CENTRUM CAPITAL LTD.,Active,A ,1.0,INE660C01027,Other Financial Services,Equity
501242,,TCIFINANCE,TCI FINANCE LTD.,Active,B ,10.0,INE911B01018,Finance (including NBFCs),Equity
501295,,IITL,INDUSTRIAL INVESTMENT TRUST LTD.,Active,T ,10.0,INE886A01014,Finance (including NBFCs),Equity
501301,,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,A ,10.0,INE672A01018,Holding Companies,Equity
501343,,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,Active,B ,5.0,INE861B01023,Finance (including NBFCs),Equity
501425,,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,Active,A ,2.0,INE050A01025,Tea & Coffee,Equity
501455,,GREAVESCOT,GREAVES COTTON LTD.,Active,A ,2.0,INE224A01026,Industrial Machinery,Equity
501848,,GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$,Active,T ,10.0,INE446C01013,Shipping,Equity
502090,,SAGCEM,SAGAR CEMENTS LTD.-$,Active,B ,10.0,INE229C01013,Cement & Cement Products,Equity
502137,,DECCANCE,DECCAN CEMENTS LTD.-$,Active,B ,5.0,INE583C01021,Cement & Cement Products,Equity
502157,,MANGLMCEM,MANGALAM CEMENT LTD.,Active,B ,10.0,INE347A01017,Cement & Cement Products,Equity
502168,,NCLIND,NCL INDUSTRIES LTD.-$,Active,B ,10.0,INE732C01016,Cement & Cement Products,Equity
502180,,SHREDIGCEM,SHREE DIGVIJAY CEMENT CO.LTD.-$,Active,B ,10.0,INE232A01011,Cement & Cement Products,Equity
502219,,BORORENEW,Borosil Renewables Ltd,Active,B ,1.0,INE666D01022,Houseware,Equity
502330,,ANDHRAPAP,Andhra Paper Ltd,Active,B ,10.0,INE435A01028,Paper & Paper Products,Equity
502355,,BALKRISIND,BALKRISHNA INDUSTRIES LTD.-$,Active,A ,2.0,INE787D01026,Auto Tyres & Rubber Products,Equity
502420,,ORIENTPPR,ORIENT PAPER & INDUSTRIES LTD.,Active,B ,1.0,INE592A01026,Paper & Paper Products,Equity
502448,,ROLLT,ROLLATAINERS LTD.,Active,T ,1.0,INE927A01040,Containers & Packaging,Equity
502450,,SESHAPAPER,SESHASAYEE PAPER & BOARDS LTD.,Active,B ,2.0,INE630A01024,Paper & Paper Products,Equity
502742,,SINTEX,SINTEX INDUSTRIES LTD.,Active,B ,1.0,INE429C01035,Textiles,Equity
502820,,DCM,DCM LTD.,Active,B ,10.0,INE498A01018,Other Industrial Products,Equity
502937,,KESORAMIND,KESORAM INDUSTRIES LTD.,Active,B ,10.0,INE087A01019,Diversified,Equity
502986,,VTL,VARDHMAN TEXTILES LTD.,Active,A ,10.0,INE825A01012,Textiles,Equity
503031,,PENINLAND,PENINSULA LAND LTD.,Active,B ,2.0,INE138A01028,Realty,Equity
503100,,PHOENIXLTD,The Phoenix Mills Ltd,Active,A ,2.0,INE211B01039,Realty,Equity
503101,,MARATHON,MARATHON NEXTGEN REALTY LTD.,Active,B ,5.0,INE182D01020,Realty,Equity
503169,,RUBYMILLS,RUBY MILLS LTD.,Active,B ,5.0,INE301D01026,Textiles,Equity
503310,,SWANENERGY,SWAN ENERGY LTD.,Active,A ,1.0,INE665A01038,Textiles,Equity
503722,,BANSWRAS,BANSWARA SYNTEX LTD.-$,Active,B ,10.0,INE629D01012,Textiles,Equity
503806,,SRF,SRF LTD.,Active,A ,10.0,INE647A01010,Diversified,Equity
503811,,SIYSIL,SIYARAM SILK MILLS LTD.-$,Active,B ,2.0,INE076B01028,Textiles,Equity
503960,,BBL,BHARAT BIJLEE LTD.-$,Active,B ,10.0,INE464A01028,Other Elect.Equip./ Prod.,Equity
504008,,EMCO,EMCO LTD.-$,Active,Z ,2.0,INE078A01026,Heavy Electrical Equipment,Equity
504036,,HIRECT,HIND RECTIFIERS LTD.,Active,B ,2.0,INE835D01023,Electronic Components,Equity
504058,,NIPPOBATRY,INDO-NATIONAL LTD.,Active,B ,10.0,INE567A01010,Non-Durable Household Prod.,Equity
504067,,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,Active,A ,2.0,INE520A01027,IT Consulting & Software,Equity
504112,,NELCO,NELCO LTD.,Active,B ,10.0,INE045B01015,IT Networking Equipment,Equity
504212,,UNIVCABLES,UNIVERSAL CABLES LTD.,Active,B ,10.0,INE279A01012,Other Elect.Equip./ Prod.,Equity
504220,,WSIND,W.S.INDUSTRIES (INDIA) LTD.-$,Active,T ,10.0,INE100D01014,Industrial Machinery,Equity
504286,,DELTAMAG NT,Delta Manufacturing Ltd,Active,B ,10.0,INE393A01011,Other Elect.Equip./ Prod.,Equity
504614,,SARDAEN,SARDA ENERGY & MINERALS LTD.-$,Active,B ,10.0,INE385C01013,Iron & Steel/Interm.Products,Equity
504741,,INDIANHUME,INDIAN HUME PIPE CO.LTD.,Active,B ,2.0,INE323C01030,Cement & Cement Products,Equity
504879,,ORIENTABRA,ORIENT ABRASIVES LTD.-$,Active,B ,1.0,INE569C01020,Other Industrial Products,Equity
504966,,TINPLATE,TINPLATE COMPANY OF INDIA LTD.,Active,B ,10.0,INE422C01014,Containers & Packaging,Equity
504973,,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,Active,A ,1.0,INE149A01033,Holding Companies,Equity
505010,,AUTOAXLES,AUTOMOTIVE AXLES LTD.,Active,B ,10.0,INE449A01011,Auto Parts & Equipment,Equity
505029,,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,Active,T ,5.0,INE446A01025,2/3 Wheelers,Equity
505075,,SETCO,SETCO AUTOMOTIVE LTD.,Active,T ,2.0,INE878E01021,Auto Parts & Equipment,Equity
505160,,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LTD.,Active,B ,10.0,INE187D01011,Auto Parts & Equipment,Equity
505192,,SMLISUZU,SML ISUZU LIMITED,Active,B ,10.0,INE294B01019,Commercial Vehicles,Equity
505196,,TIL,TIL LTD.,Active,B ,10.0,INE806C01018,Transport Related Services,Equity
505200,,EICHERMOT,EICHER MOTORS LTD.,Active,A ,1.0,INE066A01021,2/3 Wheelers,Equity
505230,,CIMMCO,CIMMCO LTD.,Active,B ,10.0,INE184C01028,Diversified,Equity
505242,,DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$,Active,B ,10.0,INE221B01012,Industrial Machinery,Equity
505255,,GMM,GMM PFAUDLER LTD.,Active,B ,2.0,INE541A01023,Industrial Machinery,Equity
505324,,MANUGRAPH,MANUGRAPH INDIA LTD.-$,Active,B ,2.0,INE867A01022,Industrial Machinery,Equity
505355,,NESCO,NESCO LTD.,Active,A ,2.0,INE317F01035,Misc.Commercial Services,Equity
505368,,REVATHI,REVATHI EQUIPMENT LTD.-$,Active,B ,10.0,INE617A01013,Industrial Machinery,Equity
505400,,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.,Active,B ,1.0,INE435C01024,Realty,Equity
505412,,WENDT,WENDT (INDIA) LTD.,Active,B ,10.0,INE274C01019,Industrial Machinery,Equity
505509,,RESPONIND,RESPONSIVE INDUSTRIES LTD.,Active,A ,1.0,INE688D01026,Furniture-Furnishing-Paints,Equity
505526,,DOLAT,DOLAT INVESTMENTS LTD.,Active,B ,1.0,INE966A01022,Investment Companies,Equity
505533,,WESTLIFE,WESTLIFE DEVELOPMENT LTD.,Active,A ,2.0,INE274F01020,Restaurants,Equity
505537,,ZEEL,ZEE ENTERTAINMENT ENTERPRISES LTD.,Active,A ,1.0,INE256A01028,Broadcasting & Cable TV,Equity
505688,,BHARATGEAR,BHARAT GEARS LTD.,Active,B ,10.0,INE561C01019,Auto Parts & Equipment,Equity
505700,,ELECON,ELECON ENGINEERING CO.LTD.,Active,B ,2.0,INE205B01023,Industrial Machinery,Equity
505714,,GABRIEL,GABRIEL INDIA LTD.-$,Active,B ,1.0,INE524A01029,Auto Parts & Equipment,Equity
505720,,HERCULES,HERCULES HOISTS LTD.,Active,B ,1.0,INE688E01024,Industrial Machinery,Equity
505726,,IFBIND,IFB INDUSTRIES LTD.,Active,A ,10.0,INE559A01017,Household Appliances,Equity
505744,,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LTD.,Active,B ,10.0,INE529A01010,Auto Parts & Equipment,Equity
